ID	StemEnergy5p	StemEnergy3p	LoopEnergy	DMS_distal
 LocalEnergy_I1.1_1000	-11.65	-12.5	4.2	0.9909090909090909
 LocalEnergy_I1.1_1001	-10.0	-6.8	5.6	0.9568181818181818
 LocalEnergy_I1.1_1002	-7.45	-26.2	3.7	0.9204545454545455
 LocalEnergy_I1.1_1003	-11.2	-5.95	4.7	0.9045454545454545
 LocalEnergy_I1.1_1004	-8.4	-11.5	6.5	0.7477272727272727
 LocalEnergy_I1.1_1005	-14.5	-6.3	6.8	0.7954545454545454
 LocalEnergy_I1.1_1006	-15.75	-7.15	4.9	0.95
 LocalEnergy_I1.1_1007	-5.3	-2.8	7.7	0.7272727272727273
 LocalEnergy_I1.1_1008	-10.05	-3.95	2.2	0.9772727272727273
 LocalEnergy_I1.1_1009	-15.2	-6.05	5.1	0.7863636363636364
 LocalEnergy_I1.1_100	-19.7	-16.6	2.3	0.8818181818181818
 LocalEnergy_I1.1_1010	-6.1	-5.5	6.5	0.9681818181818183
 LocalEnergy_I1.1_1012	-16.9	-7.8	3.4	0.8863636363636364
 LocalEnergy_I1.1_1013	-2.2	-8.9	5.6	0.9318181818181818
 LocalEnergy_I1.1_1014	-15.3	-10.8	7.3	0.9704545454545455
 LocalEnergy_I1.1_1015	-14.7	-8.7	2.7	0.9318181818181818
 LocalEnergy_I1.1_1016	-6.8	-15.05	3.4	0.9636363636363636
 LocalEnergy_I1.1_1017	-15.25	-12.3	6.8	0.9409090909090909
 LocalEnergy_I1.1_1018	-8.85	-8.0	6.0	0.7954545454545454
 LocalEnergy_I1.1_1019	-6.6	-12.05	4.9	0.9590909090909091
 LocalEnergy_I1.1_101	-12.1	-20.2	3.3	0.9681818181818181
 LocalEnergy_I1.1_1020	-5.55	-4.3	4.9	0.95
 LocalEnergy_I1.1_1021	-10.0	-7.15	3.2	0.9318181818181818
 LocalEnergy_I1.1_1022	-15.5	-11.2	2.6	0.9409090909090909
 LocalEnergy_I1.1_1023	-2.1	-1.57	4.8	0.9181818181818182
 LocalEnergy_I1.1_1024	-7.75	-8.0	2.213	0.9045454545454545
 LocalEnergy_I1.1_1025	-15.1	-3.65	2.5	0.9090909090909091
 LocalEnergy_I1.1_1026	-7.05	-9.25	7.5	0.8454545454545455
 LocalEnergy_I1.1_1027	-6.25	-8.9	5.8	1.0
 LocalEnergy_I1.1_1028	-8.0	-8.8	6.8	0.7863636363636364
 LocalEnergy_I1.1_1029	-3.65	-12.25	3.0	0.9863636363636363
 LocalEnergy_I1.1_102	-9.55	-9.85	6.6	0.9818181818181819
 LocalEnergy_I1.1_1030	-8.8	-17.3	4.2	0.9090909090909092
 LocalEnergy_I1.1_1031	-7.65	-2.9	5.3	0.9318181818181818
 LocalEnergy_I1.1_1032	-4.8	-2.2	5.6	0.9409090909090909
 LocalEnergy_I1.1_1033	-17.0	-10.0	3.0	0.8909090909090909
 LocalEnergy_I1.1_1034	-3.3	-9.65	7.0	0.8090909090909091
 LocalEnergy_I1.1_1035	-4.7	-8.8	4.1	0.9727272727272728
 LocalEnergy_I1.1_1036	-15.45	-9.2	6.1	0.9909090909090909
 LocalEnergy_I1.1_1037	-5.1	-23.9	3.7	0.7909090909090909
 LocalEnergy_I1.1_1038	-21.1	-11.1	3.2	0.9863636363636364
 LocalEnergy_I1.1_1039	-9.55	-5.05	6.0	0.8818181818181818
 LocalEnergy_I1.1_103	-18.0	-6.05	4.2	0.9522727272727273
