ID	StemEnergy5p	StemEnergy3p	LoopEnergy	DMS_local
 LocalEnergy_I1.1_1000	-11.65	-12.5	4.2	1.0
 LocalEnergy_I1.1_1001	-10.0	-6.8	5.6	1.0
 LocalEnergy_I1.1_1002	-7.45	-26.2	3.7	0.8437500000000001
 LocalEnergy_I1.1_1003	-11.2	-5.95	4.7	0.8541666666666666
 LocalEnergy_I1.1_1004	-8.4	-11.5	6.5	0.7098214285714286
 LocalEnergy_I1.1_1005	-14.5	-6.3	6.8	0.5266666666666667
 LocalEnergy_I1.1_1006	-15.75	-7.15	4.9	0.9444444444444445
 LocalEnergy_I1.1_1007	-5.3	-2.8	7.7	0.7961538461538462
 LocalEnergy_I1.1_1008	-10.05	-3.95	2.2	0.975
 LocalEnergy_I1.1_1009	-15.2	-6.05	5.1	0.875
 LocalEnergy_I1.1_100	-19.7	-16.6	2.3	0.8133333333333335
 LocalEnergy_I1.1_1010	-6.1	-5.5	6.5	0.8961038961038961
 LocalEnergy_I1.1_1012	-16.9	-7.8	3.4	1.0
 LocalEnergy_I1.1_1013	-2.2	-8.9	5.6	0.7777777777777778
 LocalEnergy_I1.1_1014	-15.3	-10.8	7.3	0.9675324675324676
 LocalEnergy_I1.1_1015	-14.7	-8.7	2.7	0.9780219780219781
 LocalEnergy_I1.1_1016	-6.8	-15.05	3.4	0.9791666666666667
 LocalEnergy_I1.1_1017	-15.25	-12.3	6.8	0.9785714285714286
 LocalEnergy_I1.1_1018	-8.85	-8.0	6.0	0.7083333333333333
 LocalEnergy_I1.1_1019	-6.6	-12.05	4.9	1.0
 LocalEnergy_I1.1_101	-12.1	-20.2	3.3	0.9895833333333334
 LocalEnergy_I1.1_1020	-5.55	-4.3	4.9	0.38095238095238093
 LocalEnergy_I1.1_1021	-10.0	-7.15	3.2	0.9545454545454546
 LocalEnergy_I1.1_1022	-15.5	-11.2	2.6	1.0
 LocalEnergy_I1.1_1023	-2.1	-1.57	4.8	0.24489795918367346
 LocalEnergy_I1.1_1024	-7.75	-8.0	2.213	0.9393939393939393
 LocalEnergy_I1.1_1025	-15.1	-3.65	2.5	0.8347107438016529
 LocalEnergy_I1.1_1026	-7.05	-9.25	7.5	0.6666666666666666
 LocalEnergy_I1.1_1027	-6.25	-8.9	5.8	0.8229166666666667
 LocalEnergy_I1.1_1028	-8.0	-8.8	6.8	0.99
 LocalEnergy_I1.1_1029	-3.65	-12.25	3.0	0.9833333333333333
 LocalEnergy_I1.1_102	-9.55	-9.85	6.6	0.951851851851852
 LocalEnergy_I1.1_1030	-8.8	-17.3	4.2	1.0
 LocalEnergy_I1.1_1031	-7.65	-2.9	5.3	0.5079365079365079
 LocalEnergy_I1.1_1032	-4.8	-2.2	5.6	0.38562091503267976
 LocalEnergy_I1.1_1033	-17.0	-10.0	3.0	1.0
 LocalEnergy_I1.1_1034	-3.3	-9.65	7.0	0.6692307692307693
 LocalEnergy_I1.1_1035	-4.7	-8.8	4.1	0.9444444444444444
 LocalEnergy_I1.1_1036	-15.45	-9.2	6.1	0.6752136752136751
 LocalEnergy_I1.1_1037	-5.1	-23.9	3.7	0.7012987012987013
 LocalEnergy_I1.1_1038	-21.1	-11.1	3.2	0.9935897435897436
 LocalEnergy_I1.1_1039	-9.55	-5.05	6.0	0.4642857142857143
 LocalEnergy_I1.1_103	-18.0	-6.05	4.2	0.8376068376068376
 LocalEnergy_I1.1_1040	-6.3	-14.6	6.1	0.95
 LocalEnergy_I1.1_1041	-11.3	-14.8	7.5	0.8461538461538461
 LocalEnergy_I1.1_1042	-2.37	-6.7	7.3	0.6944444444444444
 LocalEnergy_I1.1_1043	-3.1	-10.8	5.4	0.8333333333333333
 LocalEnergy_I1.1_1044	-3.3	-10.65	5.8	0.9166666666666667
 LocalEnergy_I1.1_1045	-18.2	-2.4	4.6	0.8076923076923077
 LocalEnergy_I1.1_1046	-3.3	-5.8	5.5	0.45925925925925926
 LocalEnergy_I1.1_1047	-6.8	-5.95	3.9	0.7651515151515151
 LocalEnergy_I1.1_1048	-25.6	-4.75	4.4	0.6103896103896104
 LocalEnergy_I1.1_1049	-11.3	-5.27	4.2	1.0
 LocalEnergy_I1.1_104	-6.45	-9.0	7.0	0.7756410256410257
 LocalEnergy_I1.1_1050	-6.25	-11.1	5.1	0.8506493506493507
 LocalEnergy_I1.1_1051	-20.45	-7.6	3.2	0.989010989010989
 LocalEnergy_I1.1_1052	-10.3	-7.5	4.8	0.5533333333333333
 LocalEnergy_I1.1_1053	-10.65	-3.55	8.7	0.7676767676767677
 LocalEnergy_I1.1_1054	-7.6	-9.9	4.2	1.0
 LocalEnergy_I1.1_1055	-15.35	-2.3	3.4	0.9196428571428571
 LocalEnergy_I1.1_1056	-21.9	-5.3	1.2	0.9803921568627451
 LocalEnergy_I1.1_1057	-15.45	-14.8	4.6	0.8557692307692307
 LocalEnergy_I1.1_1058	-6.4	-5.6	5.3	0.7063492063492064
 LocalEnergy_I1.1_1059	-2.4	-28.2	4.2	0.9481481481481482
 LocalEnergy_I1.1_105	-3.65	-5.85	6.5	0.5267857142857143
 LocalEnergy_I1.1_1060	-14.4	-5.2	4.5	0.9743589743589743
 LocalEnergy_I1.1_1061	-6.05	-13.75	2.3	0.9833333333333333
 LocalEnergy_I1.1_1062	-2.3	-14.5	5.3	0.8571428571428572
 LocalEnergy_I1.1_1063	-5.85	-6.5	8.0	0.5959595959595959
 LocalEnergy_I1.1_1064	-8.3	-11.8	4.6	0.9500000000000001
 LocalEnergy_I1.1_1065	-11.75	-19.85	3.0	0.9875
 LocalEnergy_I1.1_1066	-8.25	-19.0	6.3	0.9349112426035503
 LocalEnergy_I1.1_1067	-12.95	-12.85	5.1	0.9423076923076923
 LocalEnergy_I1.1_1068	-8.3	-17.0	6.8	0.9440559440559441
 LocalEnergy_I1.1_1069	-3.9	-25.7	2.3	0.788235294117647
 LocalEnergy_I1.1_106	-10.9	-8.9	5.4	1.0
 LocalEnergy_I1.1_1070	-9.1	-7.35	5.1	0.8376068376068376
