rna_name	rna_ID	rna_type
bpRNA_CRW_1	1	16S
bpRNA_CRW_2	2	16S
bpRNA_CRW_3	3	16S
bpRNA_CRW_4	4	16S
bpRNA_CRW_5	5	16S
bpRNA_CRW_6	6	16S
bpRNA_CRW_7	7	16S
bpRNA_CRW_8	8	16S
bpRNA_CRW_9	9	16S
bpRNA_CRW_10	10	16S
bpRNA_CRW_11	11	16S
bpRNA_CRW_12	12	16S
bpRNA_CRW_13	13	16S
bpRNA_CRW_14	14	16S
bpRNA_CRW_15	15	16S
bpRNA_CRW_16	16	16S
bpRNA_CRW_17	17	16S
bpRNA_CRW_18	18	16S
bpRNA_CRW_19	19	16S
bpRNA_CRW_20	20	16S
bpRNA_CRW_21	21	16S
bpRNA_CRW_22	22	16S
bpRNA_CRW_23	23	16S
bpRNA_CRW_24	24	16S
bpRNA_CRW_25	25	16S
bpRNA_CRW_26	26	16S
bpRNA_CRW_27	27	16S
bpRNA_CRW_28	28	16S
bpRNA_CRW_29	29	16S
bpRNA_CRW_30	30	16S
bpRNA_CRW_31	31	16S
bpRNA_CRW_32	32	16S
bpRNA_CRW_33	33	16S
bpRNA_CRW_34	34	16S
bpRNA_CRW_35	35	16S
bpRNA_CRW_36	36	16S
bpRNA_CRW_37	37	16S
bpRNA_CRW_38	38	16S
bpRNA_CRW_39	39	16S
bpRNA_CRW_40	40	16S
bpRNA_CRW_41	41	16S
bpRNA_CRW_42	42	16S
bpRNA_CRW_43	43	16S
bpRNA_CRW_44	44	16S
bpRNA_CRW_45	45	16S
bpRNA_CRW_46	46	16S
bpRNA_CRW_47	47	16S
bpRNA_CRW_48	48	16S
bpRNA_CRW_49	49	16S
bpRNA_CRW_50	50	16S
bpRNA_CRW_51	51	16S
bpRNA_CRW_52	52	16S
bpRNA_CRW_53	53	16S
bpRNA_CRW_54	54	16S
bpRNA_CRW_55	55	16S
bpRNA_CRW_56	56	16S
bpRNA_CRW_57	57	16S
bpRNA_CRW_58	58	16S
bpRNA_CRW_59	59	16S
bpRNA_CRW_60	60	16S
bpRNA_CRW_61	61	16S
bpRNA_CRW_62	62	16S
bpRNA_CRW_63	63	16S
bpRNA_CRW_64	64	16S
bpRNA_CRW_65	65	16S
bpRNA_CRW_66	66	16S
bpRNA_CRW_67	67	16S
bpRNA_CRW_68	68	16S
bpRNA_CRW_69	69	16S
bpRNA_CRW_70	70	16S
bpRNA_CRW_71	71	16S
bpRNA_CRW_72	72	16S
bpRNA_CRW_73	73	16S
bpRNA_CRW_74	74	16S
bpRNA_CRW_75	75	16S
bpRNA_CRW_76	76	16S
bpRNA_CRW_77	77	16S
bpRNA_CRW_78	78	16S
bpRNA_CRW_79	79	16S
bpRNA_CRW_80	80	16S
bpRNA_CRW_81	81	16S
