rna_id	rna_type	rna_subtype
91139	glnA RNA	glnA
40135	tRNA	tRNA
89370	Riboswitch	SAM-I-IV-variant
89371	Riboswitch	SAM-I-IV-variant
89372	Riboswitch	SAM-I-IV-variant
89373	Riboswitch	SAM-I-IV-variant
89374	Riboswitch	SAM-I-IV-variant
89375	Riboswitch	SAM-I-IV-variant
89376	Riboswitch	SAM-I-IV-variant
89377	Riboswitch	SAM-I-IV-variant
89378	Riboswitch	SAM-I-IV-variant
89379	Riboswitch	SAM-I-IV-variant
22749	tRNA	tRNA
5988	16S	16S
5989	16S	16S
5982	16S	16S
5983	16S	16S
5980	16S	16S
5981	16S	16S
5986	16S	16S
5987	16S	16S
5984	16S	16S
5985	16S	16S
82449	snoRNA	SNORD11
82448	snoRNA	SNORD11
82443	snoRNA	SNORD11
82442	snoRNA	SNORD11
82441	snoRNA	SNORD11
82440	snoRNA	snoR110
82447	snoRNA	SNORD11
82446	snoRNA	SNORD11
82445	snoRNA	SNORD11
82444	snoRNA	SNORD11
10550	16S	16S
54545	Group I intron	Group I Introns
97159	miRNA	mir-1180
97158	miRNA	mir-1208
97153	miRNA	mir-1275
97152	miRNA	mir-1275
97151	miRNA	mir-1275
97150	miRNA	mir-1275
97157	miRNA	mir-1208
97156	miRNA	mir-1208
97155	miRNA	mir-1275
97154	miRNA	mir-1275
54544	Group I intron	Group I Introns
270	16S	16S
271	16S	16S
272	16S	16S
273	16S	16S
274	16S	16S
275	16S	16S
276	16S	16S
277	16S	16S
278	16S	16S
279	16S	16S
16707	5S	5S
16706	5S	5S
16701	5S	5S
16700	5S	5S
16703	5S	5S
16702	5S	5S
88023	Downstream peptide RNA	Downstream-peptide
88022	Downstream peptide RNA	Downstream-peptide
88021	Downstream peptide RNA	Downstream-peptide
88020	Downstream peptide RNA	Downstream-peptide
88027	Downstream peptide RNA	Downstream-peptide
88026	Downstream peptide RNA	Downstream-peptide
88025	Downstream peptide RNA	Downstream-peptide
88024	Downstream peptide RNA	Downstream-peptide
88029	Downstream peptide RNA	Downstream-peptide
88028	Downstream peptide RNA	Downstream-peptide
101358	Ribosomal RNA	LSU_rRNA_bacteria
94080	Spliceosomal RNA	SmY
17258	16S	16S
17259	16S	16S
100014	Bacterial sRNA	sau-50
100015	Bacterial sRNA	sau-50
22742	tRNA	tRNA
100013	Bacterial sRNA	sau-50
100010	Bacterial sRNA	sau-50
100011	Bacterial sRNA	sau-50
17250	16S	16S
17251	16S	16S
17252	16S	16S
17253	16S	16S
17254	16S	16S
17255	16S	16S
17256	16S	16S
17257	16S	16S
63024	Group II intron	Group II Intro or  Group II Introns
63025	Group II intron	Group II Intro or  Group II Introns
10709	16S	16S
10708	16S	16S
63020	Group II intron	Group II Intro or  Group II Introns
63021	Group II intron	Group II Intro or  Group II Introns
63022	Group II intron	Group II Intro or  Group II Introns
63023	Group II intron	Group II Intro or  Group II Introns
10703	16S	16S
10702	16S	16S
10701	16S	16S
10700	16S	16S
10707	16S	16S
10706	16S	16S
10705	16S	16S
10704	16S	16S
101352	Ribosomal RNA	LSU_rRNA_bacteria
22743	tRNA	tRNA
21619	tRNA	tRNA
21618	tRNA	tRNA
101353	Ribosomal RNA	LSU_rRNA_bacteria
21615	tRNA	tRNA
21614	tRNA	tRNA
21617	tRNA	tRNA
21616	tRNA	tRNA
21611	tRNA	tRNA
21610	tRNA	tRNA
21613	tRNA	tRNA
21612	tRNA	tRNA
101351	Ribosomal RNA	LSU_rRNA_bacteria
101356	Ribosomal RNA	LSU_rRNA_bacteria
101357	Ribosomal RNA	LSU_rRNA_bacteria
101425	Ribosomal RNA	SSU_rRNA_microsporidia
42089	tRNA	tRNA
