ID	StemEnergy5p	StemEnergy3p	LoopEnergy	DMS
 LocalEnergy_B2_1000	-6.1	-21.1	4.7	0.9249999999999999
 LocalEnergy_B2_1001	-7.05	-19.95	0.373	0.7941176470588236
 LocalEnergy_B2_1002	-9.35	-13.0	4.7	0.8867647058823529
 LocalEnergy_B2_1003	-14.95	-5.95	4.6	0.7828947368421052
 LocalEnergy_B2_1004	-11.45	-6.25	3.2	0.8657142857142857
 LocalEnergy_B2_1005	-9.45	-5.6	4.7	0.7517241379310344
 LocalEnergy_B2_1006	-7.77	-10.2	4.7	0.9267241379310345
 LocalEnergy_B2_1007	-8.25	-8.25	4.8	0.9319727891156463
 LocalEnergy_B2_1008	-7.0	-10.8	4.4	0.8324074074074074
 LocalEnergy_B2_1009	-8.9	-6.25	3.2	0.7245098039215686
 LocalEnergy_B2_100	-16.05	-4.3	3.2	0.8090909090909091
 LocalEnergy_B2_1010	-14.95	-9.55	4.4	0.9722222222222223
 LocalEnergy_B2_1011	-11.65	-6.0	4.7	0.8983333333333333
 LocalEnergy_B2_1012	-8.55	-21.6	3.6	0.8170955882352942
 LocalEnergy_B2_1013	-10.5	-9.8	2.8	0.9417293233082707
 LocalEnergy_B2_1014	-4.05	-3.7	4.7	0.7464285714285714
 LocalEnergy_B2_1015	-12.4	-16.95	4.6	0.9840510366826156
 LocalEnergy_B2_1016	-11.5	-19.55	4.0	0.9697478991596639
 LocalEnergy_B2_1017	-9.25	-5.6	1.7	0.9256410256410257
 LocalEnergy_B2_1018	-5.7	-23.15	4.4	0.9459876543209877
 LocalEnergy_B2_1019	-5.05	-6.25	4.0	0.8130252100840337
 LocalEnergy_B2_101	-10.0	-11.1	4.6	0.897203947368421
 LocalEnergy_B2_1020	-11.55	-9.1	-0.027	0.9948717948717949
 LocalEnergy_B2_1021	-3.7	-18.85	4.4	0.9375
 LocalEnergy_B2_1022	-8.75	-6.15	3.6	0.7672413793103449
 LocalEnergy_B2_1023	-19.25	-4.7	3.6	0.7968749999999999
 LocalEnergy_B2_1024	-14.15	-8.7	2.8	0.8865546218487395
 LocalEnergy_B2_1025	-8.05	-5.3	4.8	0.6998556998557
 LocalEnergy_B2_1026	-12.4	-15.2	4.7	0.99
 LocalEnergy_B2_1027	-4.3	-20.75	3.6	0.9632352941176471
 LocalEnergy_B2_1028	-7.6	-3.1	2.8	0.9051724137931034
 LocalEnergy_B2_1029	-4.3	-12.5	2.8	0.9073660714285714
 LocalEnergy_B2_102	-3.95	-11.05	4.0	0.8762677484787018
 LocalEnergy_B2_1030	-14.5	-4.6	3.6	0.7145833333333333
 LocalEnergy_B2_1031	-8.05	-16.35	0.373	0.9584199584199584
 LocalEnergy_B2_1032	-5.4	-3.5	3.6	0.6863839285714286
