ID	StemEnergy5p	StemEnergy3p	LoopEnergy	DMS_distal
 LocalEnergy_B2_1000	-6.1	-21.1	4.7	0.9409090909090909
 LocalEnergy_B2_1001	-7.05	-19.95	0.373	0.8704545454545454
 LocalEnergy_B2_1002	-9.35	-13.0	4.7	0.9590909090909091
 LocalEnergy_B2_1003	-14.95	-5.95	4.6	0.8477272727272728
 LocalEnergy_B2_1004	-11.45	-6.25	3.2	0.8795454545454545
 LocalEnergy_B2_1005	-9.45	-5.6	4.7	0.7818181818181819
 LocalEnergy_B2_1006	-7.77	-10.2	4.7	0.9613636363636364
 LocalEnergy_B2_1007	-8.25	-8.25	4.8	0.9045454545454545
 LocalEnergy_B2_1008	-7.0	-10.8	4.4	0.9431818181818181
 LocalEnergy_B2_1009	-8.9	-6.25	3.2	0.7999999999999999
 LocalEnergy_B2_100	-16.05	-4.3	3.2	0.8295454545454544
 LocalEnergy_B2_1010	-14.95	-9.55	4.4	0.9636363636363636
 LocalEnergy_B2_1011	-11.65	-6.0	4.7	0.9772727272727273
 LocalEnergy_B2_1012	-8.55	-21.6	3.6	0.7863636363636364
 LocalEnergy_B2_1013	-10.5	-9.8	2.8	0.9318181818181819
 LocalEnergy_B2_1014	-4.05	-3.7	4.7	0.8954545454545455
 LocalEnergy_B2_1015	-12.4	-16.95	4.6	1.0
 LocalEnergy_B2_1016	-11.5	-19.55	4.0	0.9818181818181818
 LocalEnergy_B2_1017	-9.25	-5.6	1.7	0.9227272727272728
 LocalEnergy_B2_1018	-5.7	-23.15	4.4	0.9545454545454546
 LocalEnergy_B2_1019	-5.05	-6.25	4.0	0.9
 LocalEnergy_B2_101	-10.0	-11.1	4.6	0.9204545454545454
 LocalEnergy_B2_1020	-11.55	-9.1	-0.027	1.0
 LocalEnergy_B2_1021	-3.7	-18.85	4.4	0.9818181818181818
 LocalEnergy_B2_1022	-8.75	-6.15	3.6	0.8795454545454545
 LocalEnergy_B2_1023	-19.25	-4.7	3.6	0.9590909090909091
 LocalEnergy_B2_1024	-14.15	-8.7	2.8	0.8681818181818182
 LocalEnergy_B2_1025	-8.05	-5.3	4.8	0.8636363636363636
 LocalEnergy_B2_1026	-12.4	-15.2	4.7	0.9909090909090909
 LocalEnergy_B2_1027	-4.3	-20.75	3.6	0.9318181818181818
 LocalEnergy_B2_1028	-7.6	-3.1	2.8	0.9295454545454546
 LocalEnergy_B2_1029	-4.3	-12.5	2.8	0.8954545454545454
 LocalEnergy_B2_102	-3.95	-11.05	4.0	0.9045454545454545
 LocalEnergy_B2_1030	-14.5	-4.6	3.6	0.7090909090909092
 LocalEnergy_B2_1031	-8.05	-16.35	0.373	0.9727272727272728
 LocalEnergy_B2_1032	-5.4	-3.5	3.6	0.7772727272727273
 LocalEnergy_B2_1033	-8.3	-16.55	2.8	0.9727272727272728
 LocalEnergy_B2_1034	-18.45	-18.6	2.8	0.9454545454545454
 LocalEnergy_B2_1035	-6.0	-4.7	2.8	0.8772727272727272
 LocalEnergy_B2_1036	-12.55	-11.3	4.0	0.9363636363636363
 LocalEnergy_B2_1037	-6.35	-7.8	3.6	0.9090909090909091
 LocalEnergy_B2_1038	-6.2	-7.77	4.6	0.9045454545454545
 LocalEnergy_B2_1039	-3.65	-9.5	2.8	0.9318181818181818
 LocalEnergy_B2_103	-7.4	-18.65	3.6	0.8227272727272726
 LocalEnergy_B2_1040	-2.2	-15.7	3.2	0.9363636363636363
 LocalEnergy_B2_1041	-8.6	-8.5	4.0	0.8863636363636364
 LocalEnergy_B2_1042	-13.4	-27.9	2.8	0.9636363636363636
 LocalEnergy_B2_1043	-19.7	-5.55	2.7	0.9
 LocalEnergy_B2_1044	-8.75	-7.9	3.6	0.9681818181818181
 LocalEnergy_B2_1045	-23.0	-14.9	4.0	0.9954545454545455
 LocalEnergy_B2_1046	-5.1	-19.25	4.0	0.9772727272727273
 LocalEnergy_B2_1047	-17.35	-18.8	4.6	0.9704545454545453
 LocalEnergy_B2_1048	-9.55	-8.5	2.8	0.990909090909091
 LocalEnergy_B2_1049	-24.8	-3.95	4.0	0.85
 LocalEnergy_B2_104	-11.3	-8.15	4.0	0.9136363636363637
 LocalEnergy_B2_1050	-16.45	-6.9	4.4	0.8500000000000001
 LocalEnergy_B2_1051	-6.15	-13.2	4.8	0.8863636363636364
 LocalEnergy_B2_1052	-13.7	-5.4	4.0	0.8318181818181818
 LocalEnergy_B2_1053	-13.9	-7.05	2.8	0.9590909090909091
 LocalEnergy_B2_1054	-3.85	-8.6	4.6	0.7681818181818182
 LocalEnergy_B2_1055	-11.9	-11.7	3.6	0.9454545454545454
 LocalEnergy_B2_1056	-4.75	-13.95	2.9	0.8
 LocalEnergy_B2_1057	-8.8	-17.9	4.6	0.990909090909091
 LocalEnergy_B2_1058	-5.05	-6.85	3.2	0.85
 LocalEnergy_B2_1059	-10.05	-7.5	4.8	0.9318181818181818
 LocalEnergy_B2_105	-8.25	-15.1	4.6	0.9454545454545454
 LocalEnergy_B2_1060	-2.1	-18.95	4.6	1.0
 LocalEnergy_B2_1061	-7.9	-13.95	4.4	1.0
 LocalEnergy_B2_1062	-13.15	-9.35	2.8	0.725
 LocalEnergy_B2_1063	-15.0	-8.35	4.7	0.9727272727272728
 LocalEnergy_B2_1064	-7.85	-25.1	3.2	0.9227272727272727
 LocalEnergy_B2_1065	-11.15	-15.35	4.4	0.9181818181818182
 LocalEnergy_B2_1066	-12.75	-14.25	2.9	0.9022727272727273
 LocalEnergy_B2_1067	-11.95	-16.1	4.6	0.9204545454545455
 LocalEnergy_B2_1068	-8.45	-4.2	4.6	0.7318181818181819
 LocalEnergy_B2_1069	-7.2	-7.27	4.7	0.9045454545454544
 LocalEnergy_B2_106	-15.05	-10.45	2.8	0.9227272727272727
