ID	StemEnergy5p	StemEnergy3p	LoopEnergy	DMS
 LocalEnergy_H1_1000	-3.9	0	5.8	0.8911764705882352
 LocalEnergy_H1_1002	-6.6	0	5.4	0.8494208494208494
 LocalEnergy_H1_1006	-8.35	0	5.7	0.97
 LocalEnergy_H1_1009	-6.1	0	4.9	0.9843137254901961
 LocalEnergy_H1_1011	-10.8	0	4.4	0.9789473684210527
 LocalEnergy_H1_1013	-11.8	0	8.2	0.9577702702702703
 LocalEnergy_H1_1018	-7.35	0	6.0	0.9493506493506493
 LocalEnergy_H1_1019	-16.17	0	4.5	0.9444444444444444
 LocalEnergy_H1_1022	-6.4	0	5.4	0.9530612244897958
 LocalEnergy_H1_1023	-9.0	0	6.9	0.9516806722689076
 LocalEnergy_H1_1025	-16.55	0	7.7	0.9894736842105263
 LocalEnergy_H1_1028	-12.4	0	7.7	0.9352380952380952
 LocalEnergy_H1_102	-7.65	0	4.3	0.9480968858131488
 LocalEnergy_H1_1032	-8.7	0	5.1	0.9868421052631579
 LocalEnergy_H1_1033	-14.3	0	7.8	0.9614035087719299
 LocalEnergy_H1_1034	-12.4	0	5.1	0.8824675324675324
 LocalEnergy_H1_1036	-16.6	0	3.9	0.9542483660130718
 LocalEnergy_H1_1037	-5.95	0	4.6	0.9797794117647058
 LocalEnergy_H1_1039	-6.9	0	4.9	0.9238095238095239
 LocalEnergy_H1_1040	-10.75	0	5.4	0.9020408163265307
 LocalEnergy_H1_1042	-10.85	0	5.4	0.9857142857142857
 LocalEnergy_H1_1045	-13.25	0	6.9	0.9789377289377289
 LocalEnergy_H1_1046	-10.55	0	5.4	0.951058201058201
 LocalEnergy_H1_1047	-6.85	0	5.4	0.9884169884169884
 LocalEnergy_H1_104	-12.5	0	5.4	0.9503968253968254
 LocalEnergy_H1_1055	-14.6	0	4.0	0.9793741109530583
 LocalEnergy_H1_1057	-14.05	0	5.3	0.9922839506172839
 LocalEnergy_H1_1060	-17.1	0	4.7	0.9411764705882353
 LocalEnergy_H1_1064	-4.6	0	5.4	0.8632653061224489
 LocalEnergy_H1_1067	-13.85	0	5.3	0.9429429429429429
 LocalEnergy_H1_106	-10.25	0	7.7	0.9553571428571428
 LocalEnergy_H1_1072	-14.6	0	4.2	0.9917763157894737
 LocalEnergy_H1_1073	-11.1	0	5.3	0.9728571428571429
 LocalEnergy_H1_1075	-14.27	0	4.6	0.9769736842105262
 LocalEnergy_H1_1076	-12.2	0	4.4	0.9751461988304093
 LocalEnergy_H1_1079	-13.1	0	4.9	0.993993993993994
