rna_name	rna_id	rna_type	bulgeLabel	bulgeLen	bulgeEnergy	label5p	energy5p	label3p	energy3p
bpRNA_RFAM_35870	94246	snoRNA	B4	6	4.4	S13	-4.75	S12	-3.3
bpRNA_RFAM_40511	98887	MAT2A 3'UTR stem loop C	B1	6	4.4	S3	-1.75	S2	-11.9
bpRNA_RFAM_37005	95381	Ribosomal RNA	B1	1	1.7	S5	-6.7	S6	-5.4
bpRNA_RFAM_37005	95381	Ribosomal RNA	B2	2	2.8	S7	-4.0	S8	-12.8
bpRNA_RFAM_37005	95381	Ribosomal RNA	B4	1	2.7	S15	-15.1	S16	-2.4
bpRNA_RFAM_37005	95381	Ribosomal RNA	B7	3	3.2	S23	-7.75	S22	-9.9
bpRNA_RFAM_37005	95381	Ribosomal RNA	B11	7	4.6	S33	-15.7	S34	-7.5
bpRNA_RFAM_37005	95381	Ribosomal RNA	B14	1	2.9	S41	-14.5	S42	-2.1
bpRNA_RFAM_37005	95381	Ribosomal RNA	B15	2	2.8	S43	-13.5	S42	-2.1
bpRNA_RFAM_37005	95381	Ribosomal RNA	B18	3	3.2	S53	-15.7	S54	-2.05
bpRNA_RFAM_37005	95381	Ribosomal RNA	B23	1	1.7	S75	-2.1	S74	-9.1
bpRNA_RFAM_37005	95381	Ribosomal RNA	B24	1	0.5	S77	-3.3	S78	-5.05
bpRNA_RFAM_37005	95381	Ribosomal RNA	B25	2	2.8	S78	-5.05	S79	-1.65
bpRNA_RFAM_37005	95381	Ribosomal RNA	B27	1	1.4	S81	-6.4	S80	-5.35
bpRNA_RFAM_37005	95381	Ribosomal RNA	B28	3	3.2	S80	-5.35	S79	-1.65
bpRNA_RFAM_37005	95381	Ribosomal RNA	B29	1	0.5	S71	-2.97	S70	-5.8
bpRNA_RFAM_17308	75684	snoRNA	B3	1	1.6	S10	-4.5	S11	-0.45
bpRNA_RFAM_21405	79781	miRNA	B1	2	2.8	S6	-2.97	S7	-7.6
bpRNA_RFAM_21405	79781	miRNA	B3	1	0.5	S2	-3.3	S1	-4.6
bpRNA_RFAM_11022	69398	miRNA	B1	1	2.9	S1	-5.5	S2	-17.0
bpRNA_RFAM_11022	69398	miRNA	B2	1	0.4	S2	-17.0	S3	-9.45
bpRNA_RFAM_11022	69398	miRNA	B3	2	2.8	S3	-9.45	S4	-7.9
bpRNA_RFAM_14227	72603	Viral RNA	B1	2	2.8	S1	-4.95	S2	-9.5
bpRNA_RFAM_19389	77765	miRNA	B1	6	4.4	S4	-23.4	S5	-10.55
bpRNA_RFAM_10555	68931	T-box leader	B1	8	4.7	S3	-4.2	S4	-7.45
bpRNA_RFAM_42149	100525	Bacterial sRNA	B1	2	2.8	S2	-8.75	S1	-5.75
bpRNA_RFAM_20172	78548	miRNA	B1	1	1.7	S3	-2.97	S4	-22.85
bpRNA_RFAM_20172	78548	miRNA	B2	1	2.8	S2	-6.4	S1	-7.35
bpRNA_RFAM_8079	66455	Riboswitch	B1	1	1.7	S4	-5.05	S5	-5.5
bpRNA_RFAM_4759	63135	RNA Fragment	B2	1	0.4	S6	-2.55	S7	-9.9
bpRNA_RFAM_29457	87833	Downstream peptide RNA	B1	1	0.4	S3	-3.3	S2	-10.35
bpRNA_RFAM_16586	74962	snoRNA	B1	1	2.8	S4	-10.85	S3	-3.85
bpRNA_RFAM_16586	74962	snoRNA	B2	1	0.5	S7	-3.6	S8	-5.5
bpRNA_RFAM_16586	74962	snoRNA	B3	1	2.3	S8	-5.5	S9	-1.97
bpRNA_RFAM_2473	60849	RNA Fragment	B1	1	0.4	S4	-2.55	S5	-10.2
bpRNA_RFAM_2473	60849	RNA Fragment	B2	8	4.7	S6	-5.6	S7	-8.8
bpRNA_RFAM_2473	60849	RNA Fragment	B4	3	3.2	S11	-1.95	S12	-1.75
bpRNA_RFAM_2473	60849	RNA Fragment	B6	1	2.9	S19	-3.2	S18	-9.1
bpRNA_RFAM_2473	60849	RNA Fragment	B9	2	2.8	S21	-10.1	S22	-2.9
bpRNA_RFAM_19112	77488	miRNA	B1	4	3.6	S2	-13.55	S3	-5.95
bpRNA_RFAM_26	58402	5S	B1	2	2.8	S6	-1.95	S5	-8.57
bpRNA_RFAM_33615	91991	pan motif	B1	1	0.5	S2	-10.0	S3	-3.3
bpRNA_RFAM_33615	91991	pan motif	B2	1	1.4	S2	-10.0	S1	-1.65
bpRNA_RFAM_33615	91991	pan motif	B3	1	1.6	S5	-8.1	S6	-5.7
bpRNA_RFAM_33615	91991	pan motif	B4	1	0.4	S5	-8.1	S4	-5.7
bpRNA_RFAM_2511	60887	RNA Fragment	B1	1	0.4	S4	-2.55	S5	-10.95
bpRNA_RFAM_2511	60887	RNA Fragment	B2	8	4.7	S6	-7.8	S7	-12.4
bpRNA_RFAM_2511	60887	RNA Fragment	B4	3	3.2	S11	-3.3	S12	-1.75
bpRNA_RFAM_2511	60887	RNA Fragment	B5	2	2.8	S15	-5.35	S14	-3.3
bpRNA_RFAM_2511	60887	RNA Fragment	B7	2	2.8	S13	-5.35	S12	-1.75
bpRNA_RFAM_2511	60887	RNA Fragment	B8	1	0.5	S24	-5.7	S23	-11.0
bpRNA_RFAM_36410	94786	RNA Fragment	B1	1	3.2	S2	-4.15	S3	-9.65
bpRNA_RFAM_36410	94786	RNA Fragment	B2	1	2.5	S5	-0.45	S4	-6.25
bpRNA_RFAM_13518	71894	snoRNA	B3	1	0.4	S7	-5.95	S8	-5.95
bpRNA_RFAM_41104	99480	Bacterial sRNA	B1	1	1.7	S6	-8.1	S5	-14.95
bpRNA_RFAM_37167	95543	Selenocysteine insertion sequence 3	B2	1	0.5	S3	-3.3	S4	-8.95
bpRNA_RFAM_6263	64639	GlmZ RNA activator of glmS mRNA	B1	1	1.7	S3	-12.5	S2	-5.05
bpRNA_RFAM_22448	80824	miRNA	B2	2	2.8	S5	-10.0	S6	-5.45
bpRNA_RFAM_40473	98849	MAT2A 3'UTR stem loop A	B1	6	4.4	S6	-1.75	S5	-6.7
bpRNA_RFAM_35912	94288	snoRNA	B1	1	4.1	S4	-5.8	S5	-4.9
bpRNA_RFAM_35912	94288	snoRNA	B2	1	2.4	S8	-4.05	S9	-4.8
bpRNA_RFAM_17193	75569	snoRNA	B1	3	3.2	S2	-6.5	S3	-13.6
bpRNA_RFAM_24762	83138	snoRNA	B1	1	1.6	S2	-1.65	S1	-4.05
bpRNA_RFAM_18465	76841	ncRNA Repressor of NFAT (nuclear factor of activated T cells)	B1	1	1.6	S8	-3.85	S9	-8.15
bpRNA_RFAM_38491	96867	miRNA	B1	1	1.7	S6	-2.1	S7	-4.6
bpRNA_RFAM_38491	96867	miRNA	B2	2	2.8	S8	-8.4	S7	-4.6
bpRNA_RFAM_38491	96867	miRNA	B3	1	1.4	S6	-2.1	S5	-2.2
bpRNA_RFAM_38491	96867	miRNA	B4	1	1.7	S5	-2.2	S4	-15.6
bpRNA_RFAM_38491	96867	miRNA	B5	1	1.6	S4	-15.6	S3	-5.4
bpRNA_RFAM_38491	96867	miRNA	B6	1	0.4	S3	-5.4	S2	-7.5
bpRNA_RFAM_38491	96867	miRNA	B7	1	0.5	S2	-7.5	S1	-2.97
