rna_name	rna_id	rna_type	InternalLoopLabel	loopEnergy	label5p	energy5p	label3p	energy3p
bpRNA_RNP_29	57939	RPRNA	I1	2.3	S9	-3.3	S10	-7.6
bpRNA_RNP_29	57939	RPRNA	I4	5.2	S14	-1.75	S15	-16.05
bpRNA_RNP_3	57913	RPRNA	I2	6.5	S10	-1.95	S11	-5.25
bpRNA_RNP_379	58289	RPRNA	I1	2.3	S10	-6.7	S11	-23.1
bpRNA_RNP_11	57921	RPRNA	I5	3.8	S16	-7.6	S17	-2.97
bpRNA_RNP_11	57921	RPRNA	I6	0.2	S17	-2.97	S18	-3.3
bpRNA_RNP_11	57921	RPRNA	I7	-0.2	S18	-3.3	S19	-6.6
bpRNA_RNP_244	58154	RPRNA	I1	0.2	S6	-6.4	S7	-18.95
bpRNA_RNP_244	58154	RPRNA	I3	4.5	S21	-16.6	S22	-1.95
bpRNA_RNP_115	58025	RPRNA	I1	5.8	S16	-1.95	S17	-7.0
bpRNA_RNP_309	58219	RPRNA	I1	2.3	S12	-5.35	S13	-6.45
bpRNA_RNP_61	57971	RPRNA	I1	2.3	S12	-5.35	S13	-5.27
bpRNA_RNP_308	58218	RPRNA	I1	2.3	S12	-5.35	S13	-6.45
bpRNA_RNP_114	58024	RPRNA	I1	5.8	S19	-1.95	S20	-2.7
bpRNA_RNP_245	58155	RPRNA	I1	2.3	S16	-5.35	S17	-7.7
bpRNA_RNP_10	57920	RPRNA	I4	1.3	S15	-18.7	S16	-9.1
bpRNA_RNP_10	57920	RPRNA	I5	1.2	S20	-5.8	S21	-15.8
bpRNA_RNP_10	57920	RPRNA	I6	0.2	S22	-2.97	S23	-9.0
bpRNA_RNP_10	57920	RPRNA	I7	0.6	S23	-9.0	S24	-2.97
bpRNA_RNP_407	58317	RPRNA	I2	3.0	S5	-8.25	S6	-12.25
bpRNA_RNP_252	58162	RPRNA	I1	2.3	S12	-5.35	S13	-7.7
bpRNA_RNP_184	58094	RPRNA	I1	2.3	S12	-6.7	S13	-7.9
bpRNA_RNP_28	57938	RPRNA	I1	2.3	S9	-3.3	S10	-9.1
bpRNA_RNP_28	57938	RPRNA	I2	4.1	S10	-9.1	S11	-1.97
bpRNA_RNP_28	57938	RPRNA	I5	0.9	S15	-9.57	S16	-13.3
bpRNA_RNP_340	58250	RPRNA	I1	1.0	S17	-7.9	S18	-13.15
bpRNA_RNP_80	57990	RPRNA	I3	3.2	S12	-5.35	S13	-12.4
bpRNA_RNP_2	57912	RPRNA	I1	2.3	S7	-3.3	S8	-4.05
bpRNA_RNP_2	57912	RPRNA	I5	4.5	S12	-1.75	S13	-14.85
bpRNA_RNP_82	57992	RPRNA	I1	0.2	S10	-13.0	S11	-5.5
bpRNA_RNP_75	57985	RPRNA	I1	1.0	S19	-7.9	S20	-12.07
bpRNA_RNP_237	58147	RPRNA	I1	2.3	S12	-5.35	S13	-7.7
bpRNA_RNP_12	57922	RPRNA	I3	0.2	S18	-2.97	S19	-3.3
bpRNA_RNP_12	57922	RPRNA	I4	-0.2	S19	-3.3	S20	-6.6
bpRNA_RNP_116	58026	RPRNA	I1	5.8	S19	-1.95	S20	-7.0
bpRNA_RNP_117	58027	RPRNA	I1	5.8	S17	-1.95	S18	-7.0
bpRNA_RNP_13	57923	RPRNA	I4	5.9	S15	-2.65	S16	-12.35
bpRNA_RNP_13	57923	RPRNA	I5	3.0	S20	-9.8	S21	-5.95
bpRNA_RNP_413	58323	RPRNA	I1	1.9	S1	-8.15	S2	-1.1
bpRNA_RNP_63	57973	RPRNA	I1	1.6	S15	-3.95	S16	-11.9
bpRNA_RNP_63	57973	RPRNA	I2	3.0	S16	-11.9	S17	-6.0
bpRNA_RNP_269	58179	RPRNA	I3	3.8	S20	-11.95	S21	-6.4
bpRNA_RNP_1	57911	RPRNA	I1	2.3	S5	-3.3	S6	-7.6
bpRNA_RNP_1	57911	RPRNA	I5	3.0	S10	-1.75	S11	-18.1
bpRNA_RNP_74	57984	RPRNA	I1	5.8	S19	-1.95	S20	-7.0
bpRNA_RNP_83	57993	RPRNA	I1	5.8	S21	-1.95	S22	-7.0
bpRNA_RNP_194	58104	RPRNA	I1	1.9	S12	-5.35	S13	-11.5
bpRNA_RNP_38	57948	RPRNA	I1	2.3	S7	-3.3	S8	-9.1
bpRNA_RNP_38	57948	RPRNA	I2	3.7	S8	-9.1	S9	-1.97
bpRNA_RNP_38	57948	RPRNA	I6	0.9	S14	-9.57	S15	-10.6
bpRNA_RNP_48	57958	RPRNA	I1	2.3	S12	-5.35	S13	-8.77
bpRNA_RNP_113	58023	RPRNA	I1	5.8	S16	-1.95	S17	-2.7
bpRNA_RNP_388	58298	RPRNA	I3	3.6	S17	-15.7	S18	-5.35
bpRNA_RNP_87	57997	RPRNA	I1	2.3	S11	-5.35	S12	-9.9
bpRNA_RNP_70	57980	RPRNA	I1	5.8	S19	-1.95	S20	-7.0
bpRNA_RNP_346	58256	RPRNA	I2	5.1	S17	-12.55	S18	-4.45
bpRNA_RNP_4	57914	RPRNA	I1	2.3	S9	-3.3	S10	-9.1
bpRNA_RNP_4	57914	RPRNA	I2	4.1	S10	-9.1	S11	-1.97
bpRNA_RNP_401	58311	RPRNA	I1	2.3	S12	-5.35	S13	-6.45
bpRNA_RNP_389	58299	RPRNA	I2	3.6	S22	-10.9	S23	-11.65
bpRNA_RNP_112	58022	RPRNA	I1	5.8	S19	-1.95	S20	-2.7
bpRNA_RNP_243	58153	RPRNA	I1	2.3	S12	-5.35	S13	-7.7
bpRNA_RNP_91	58001	RPRNA	I1	0.2	S5	-13.4	S6	-2.97
bpRNA_RNP_39	57949	RPRNA	I1	2.3	S9	-3.3	S10	-9.1
bpRNA_RNP_39	57949	RPRNA	I2	3.7	S10	-9.1	S11	-1.97
