rna_name	rna_id	rna_type	InternalLoopLabel	loopEnergy	label5p	energy5p	label3p	energy3p
bpRNA_CRW_8915	8915	16S	I5	3.0	S27	-5.7	S28	-5.95
bpRNA_CRW_8915	8915	16S	I6	2.1	S29	-6.55	S30	-3.75
bpRNA_CRW_8915	8915	16S	I10	5.8	S35	-11.0	S36	-5.45
bpRNA_CRW_8915	8915	16S	I16	2.9	S50	-12.5	S51	-4.35
bpRNA_CRW_8915	8915	16S	I17	0.2	S55	-2.05	S56	-7.5
bpRNA_CRW_8915	8915	16S	I19	3.0	S64	-17.8	S65	-1.75
bpRNA_CRW_20320	20320	16S	I2	3.0	S11	-5.7	S12	-5.85
bpRNA_CRW_20320	20320	16S	I3	1.4	S13	-5.5	S14	-4.45
bpRNA_CRW_6640	6640	16S	I5	3.7	S27	-5.25	S28	-7.95
bpRNA_CRW_6640	6640	16S	I6	2.8	S29	-6.55	S30	-5.85
bpRNA_CRW_6640	6640	16S	I16	3.0	S64	-17.8	S65	-1.75
bpRNA_CRW_10707	10707	16S	I2	2.9	S2	-12.5	S3	-4.35
bpRNA_CRW_10707	10707	16S	I3	0.2	S7	-2.05	S8	-7.5
bpRNA_CRW_10707	10707	16S	I5	3.0	S16	-17.8	S17	-1.75
bpRNA_CRW_15502	15502	16S	I7	3.0	S30	-5.7	S31	-8.05
bpRNA_CRW_15502	15502	16S	I8	2.1	S32	-6.25	S33	-5.3
bpRNA_CRW_15502	15502	16S	I17	2.9	S53	-11.0	S54	-4.35
bpRNA_CRW_15502	15502	16S	I20	3.0	S67	-15.7	S68	-1.75
bpRNA_CRW_764	764	16S	I5	3.7	S29	-5.05	S30	-8.05
bpRNA_CRW_764	764	16S	I14	0.2	S57	-2.05	S58	-7.5
bpRNA_CRW_764	764	16S	I16	3.0	S66	-17.8	S67	-1.75
bpRNA_CRW_764	764	16S	I17	0.8	S85	-15.25	S86	-3.3
bpRNA_CRW_3445	3445	16S	I5	3.7	S31	-5.05	S32	-8.05
bpRNA_CRW_3445	3445	16S	I15	0.2	S60	-2.05	S61	-7.5
bpRNA_CRW_3445	3445	16S	I17	3.0	S69	-17.8	S70	-1.75
bpRNA_CRW_3445	3445	16S	I18	0.8	S88	-13.35	S89	-3.3
bpRNA_CRW_13628	13628	16S	I7	3.0	S28	-5.7	S29	-7.95
bpRNA_CRW_13628	13628	16S	I8	2.1	S30	-6.55	S31	-3.75
bpRNA_CRW_5496	5496	16S	I6	3.7	S26	-5.25	S27	-8.05
bpRNA_CRW_5496	5496	16S	I7	2.8	S28	-6.55	S29	-5.85
bpRNA_CRW_5496	5496	16S	I17	3.0	S63	-16.3	S64	-1.75
bpRNA_CRW_4218	4218	16S	I5	3.7	S31	-5.05	S32	-8.05
bpRNA_CRW_4218	4218	16S	I15	0.2	S60	-2.05	S61	-7.5
bpRNA_CRW_4218	4218	16S	I17	3.0	S69	-17.8	S70	-1.75
bpRNA_CRW_4218	4218	16S	I18	0.8	S88	-9.05	S89	-3.3
bpRNA_CRW_3868	3868	16S	I5	3.7	S30	-5.05	S31	-8.05
bpRNA_CRW_3868	3868	16S	I17	3.0	S68	-15.7	S69	-1.75
bpRNA_CRW_3868	3868	16S	I18	1.0	S87	-9.15	S88	-3.3
bpRNA_CRW_6994	6994	16S	I5	3.7	S28	-5.25	S29	-8.05
bpRNA_CRW_6994	6994	16S	I6	2.8	S30	-6.55	S31	-5.85
bpRNA_CRW_6994	6994	16S	I16	3.0	S65	-17.8	S66	-1.75
bpRNA_CRW_55195	55195	16S	I5	3.6	S18	-5.45	S19	-7.6
bpRNA_CRW_55195	55195	16S	I7	3.0	S30	-5.5	S31	-10.05
bpRNA_CRW_55195	55195	16S	I8	2.4	S38	-7.5	S39	-2.97
bpRNA_CRW_55195	55195	16S	I11	1.9	S46	-7.6	S47	-1.65
bpRNA_CRW_55195	55195	16S	I14	0.6	S52	-1.65	S53	-12.3
bpRNA_CRW_11270	11270	16S	I5	3.0	S28	-5.7	S29	-5.95
bpRNA_CRW_11270	11270	16S	I6	2.1	S30	-6.55	S31	-3.75
bpRNA_CRW_11270	11270	16S	I15	2.9	S51	-12.5	S52	-4.35
bpRNA_CRW_11270	11270	16S	I16	0.2	S56	-2.05	S57	-7.5
bpRNA_CRW_11270	11270	16S	I18	3.0	S65	-17.8	S66	-1.75
bpRNA_CRW_7337	7337	16S	I5	3.0	S28	-5.8	S29	-8.05
bpRNA_CRW_7337	7337	16S	I6	2.8	S30	-3.95	S31	-3.85
bpRNA_CRW_7337	7337	16S	I16	3.0	S65	-17.8	S66	-1.75
bpRNA_CRW_7337	7337	16S	I17	1.0	S85	-10.8	S86	-3.3
bpRNA_CRW_2132	2132	16S	I5	3.7	S30	-5.05	S31	-8.05
bpRNA_CRW_2132	2132	16S	I17	3.0	S68	-17.8	S69	-1.75
bpRNA_CRW_2132	2132	16S	I18	0.8	S87	-9.05	S88	-3.3
bpRNA_CRW_2132	2132	16S	I21	1.1	S93	-2.97	S94	-5.05
bpRNA_CRW_14075	14075	16S	I7	3.0	S27	-5.7	S28	-8.05
bpRNA_CRW_14075	14075	16S	I8	2.1	S29	-6.25	S30	-5.3
bpRNA_CRW_14075	14075	16S	I17	2.9	S50	-11.0	S51	-4.35
bpRNA_CRW_14075	14075	16S	I20	3.0	S65	-15.7	S66	-1.75
bpRNA_CRW_11189	11189	16S	I2	2.1	S6	-6.55	S7	-3.75
bpRNA_CRW_11189	11189	16S	I8	3.1	S21	-10.1	S22	-11.55
bpRNA_CRW_11189	11189	16S	I12	0.2	S32	-2.05	S33	-7.5
bpRNA_CRW_4083	4083	16S	I6	3.7	S34	-5.05	S35	-8.05
bpRNA_CRW_4083	4083	16S	I16	0.2	S64	-2.05	S65	-7.5
bpRNA_CRW_4083	4083	16S	I18	3.0	S73	-17.8	S74	-1.75
bpRNA_CRW_4083	4083	16S	I19	0.8	S92	-11.35	S93	-3.3
bpRNA_CRW_17038	17038	16S	I7	3.7	S29	-5.05	S30	-7.95
bpRNA_CRW_17038	17038	16S	I8	2.8	S31	-6.55	S32	-2.77
bpRNA_CRW_17038	17038	16S	I18	3.0	S64	-15.25	S65	-1.75
bpRNA_CRW_1286	1286	16S	I2	3.7	S12	-5.05	S13	-8.05
bpRNA_CRW_1286	1286	16S	I12	0.2	S41	-2.05	S42	-7.5
bpRNA_CRW_1286	1286	16S	I14	3.0	S50	-17.8	S51	-1.75
bpRNA_CRW_1286	1286	16S	I15	0.8	S70	-10.95	S71	-3.3
bpRNA_CRW_16962	16962	16S	I6	3.7	S31	-5.05	S32	-7.95
bpRNA_CRW_16962	16962	16S	I7	2.1	S33	-6.55	S34	-3.75
bpRNA_CRW_16962	16962	16S	I14	2.9	S54	-11.1	S55	-4.35
bpRNA_CRW_16962	16962	16S	I17	3.0	S68	-15.7	S69	-1.75
bpRNA_CRW_16962	16962	16S	I18	1.2	S88	-10.85	S89	-1.65
bpRNA_CRW_14117	14117	16S	I7	3.0	S30	-5.7	S31	-8.05
bpRNA_CRW_14117	14117	16S	I8	2.1	S32	-6.25	S33	-5.3
bpRNA_CRW_14117	14117	16S	I17	2.9	S53	-11.0	S54	-4.35
bpRNA_CRW_14117	14117	16S	I20	2.3	S65	-1.65	S66	-1.4
bpRNA_CRW_14117	14117	16S	I22	3.0	S68	-10.75	S69	-1.75
bpRNA_CRW_2050	2050	16S	I5	3.7	S28	-5.05	S29	-8.05
bpRNA_CRW_2050	2050	16S	I17	3.0	S68	-17.8	S69	-1.75
bpRNA_CRW_7255	7255	16S	I5	3.7	S28	-5.25	S29	-8.05
bpRNA_CRW_7255	7255	16S	I6	2.8	S30	-6.55	S31	-5.85
bpRNA_CRW_7255	7255	16S	I16	3.0	S65	-16.3	S66	-1.75
bpRNA_CRW_11312	11312	16S	I5	3.7	S22	-4.95	S23	-7.25
bpRNA_CRW_11312	11312	16S	I6	2.1	S24	-6.55	S25	-5.65
bpRNA_CRW_11312	11312	16S	I16	0.2	S50	-2.05	S51	-7.5
bpRNA_CRW_3527	3527	16S	I5	3.7	S19	-5.05	S20	-8.05
bpRNA_CRW_3527	3527	16S	I15	0.2	S50	-2.05	S51	-7.5
bpRNA_CRW_3527	3527	16S	I17	3.0	S60	-17.8	S61	-1.75
bpRNA_CRW_3527	3527	16S	I18	0.8	S79	-10.85	S80	-3.3
bpRNA_CRW_606	606	16S	I5	3.7	S29	-5.05	S30	-8.05
bpRNA_CRW_606	606	16S	I14	0.2	S57	-2.05	S58	-7.5
bpRNA_CRW_606	606	16S	I16	3.0	S66	-17.8	S67	-1.75
bpRNA_CRW_606	606	16S	I17	0.8	S85	-10.85	S86	-3.3
bpRNA_CRW_10665	10665	16S	I7	3.0	S27	-5.7	S28	-7.95
bpRNA_CRW_10665	10665	16S	I8	2.1	S29	-6.55	S30	-3.75
bpRNA_CRW_20242	20242	16S	I5	3.0	S29	-5.7	S30	-5.85
bpRNA_CRW_20242	20242	16S	I6	2.1	S31	-5.5	S32	-2.77
bpRNA_CRW_20242	20242	16S	I17	3.0	S70	-11.5	S71	-1.75
bpRNA_CRW_20242	20242	16S	I19	1.5	S89	-11.3	S90	-3.3
bpRNA_CRW_6722	6722	16S	I5	3.7	S28	-5.25	S29	-8.05
bpRNA_CRW_6722	6722	16S	I6	2.8	S30	-6.55	S31	-5.85
bpRNA_CRW_6722	6722	16S	I16	3.0	S65	-17.8	S66	-1.75
bpRNA_CRW_6722	6722	16S	I28	2.5	S104	-7.15	S105	-3.3
bpRNA_CRW_8877	8877	16S	I8	3.0	S27	-17.8	S28	-2.05
bpRNA_CRW_54580	54580	Group I intron	I1	1.1	S2	-14.3	S3	-3.6
bpRNA_CRW_54580	54580	Group I intron	I2	1.0	S3	-3.6	S4	-5.85
bpRNA_CRW_54580	54580	Group I intron	I3	1.3	S6	-7.5	S7	-5.7
bpRNA_CRW_54679	54679	Group II intron	I4	4.3	S14	-6.95	S15	-10.85
bpRNA_CRW_7091	7091	16S	I5	3.7	S28	-5.25	S29	-8.05
bpRNA_CRW_7091	7091	16S	I6	2.8	S30	-6.55	S31	-5.85
bpRNA_CRW_7091	7091	16S	I16	3.0	S65	-16.3	S66	-1.75
